N	M	D	H	PowerDemand
927	2	8	14	5481.5
928	2	8	15	9187.5
929	2	8	16	4820.33333333333
930	2	8	17	736.404947949372
931	2	8	18	866.2
932	2	8	19	1131.53333333333
933	2	8	20	866.2
934	2	8	21	866.2
935	2	8	22	866.2
936	2	8	23	566.2
937	2	9	0	566.2
938	2	9	1	566.2
939	2	9	2	566.2
940	2	9	3	566.2
941	2	9	4	566.2
942	2	9	5	566.2
943	2	9	6	1423.13333333333
944	2	9	7	10036.2336055089
945	2	9	8	6168
946	2	9	9	6168
947	2	9	10	9141.2
948	2	9	11	9052.6
949	2	9	12	7866.1
950	2	9	13	849
951	2	9	14	5481.5
952	2	9	15	9187.5
953	2	9	16	4820.33333333333
954	2	9	17	732.47969472351
955	2	9	18	866.2
956	2	9	19	1131.53333333333
957	2	9	20	866.2
958	2	9	21	866.2
959	2	9	22	866.2
960	2	9	23	566.2
961	2	10	0	429
962	2	10	1	429
963	2	10	2	429
964	2	10	3	429
965	2	10	4	429
966	2	10	5	429
967	2	10	6	609
968	2	10	7	609
969	2	10	8	609
970	2	10	9	609
971	2	10	10	609
972	2	10	11	609
973	2	10	12	849
974	2	10	13	849
975	2	10	14	849
976	2	10	15	849
977	2	10	16	849
978	2	10	17	729
979	2	10	18	729
980	2	10	19	729
981	2	10	20	729
982	2	10	21	729
983	2	10	22	729
984	2	10	23	429
985	2	11	0	429
986	2	11	1	429
987	2	11	2	429
988	2	11	3	429
989	2	11	4	429
990	2	11	5	429
991	2	11	6	609
992	2	11	7	609
993	2	11	8	609
994	2	11	9	609
995	2	11	10	609
996	2	11	11	609
997	2	11	12	849
998	2	11	13	849
999	2	11	14	849
1000	2	11	15	849
1001	2	11	16	849
1002	2	11	17	729
1003	2	11	18	729
1004	2	11	19	729
1005	2	11	20	729
1006	2	11	21	729
1007	2	11	22	729
1008	2	11	23	429
1009	2	12	0	566.2
1010	2	12	1	566.2
1011	2	12	2	566.2
1012	2	12	3	566.2
1013	2	12	4	566.2
1014	2	12	5	566.2
1015	2	12	6	1423.13333333333
1016	2	12	7	9991.30540625772
1017	2	12	8	6168
1018	2	12	9	6168
1019	2	12	10	9141.2
1020	2	12	11	9052.6
1021	2	12	12	7866.1
1022	2	12	13	849
1023	2	12	14	5481.5
1024	2	12	15	9187.5
1025	2	12	16	4820.33333333333
1026	2	12	17	729
1027	2	12	18	857.831955366743
1028	2	12	19	1131.53333333333
1029	2	12	20	866.2
1030	2	12	21	866.2
1031	2	12	22	866.2
1032	2	12	23	566.2
1033	2	13	0	566.2
1034	2	13	1	566.2
1035	2	13	2	566.2
1036	2	13	3	566.2
1037	2	13	4	566.2
1038	2	13	5	566.2
1039	2	13	6	1423.13333333333
1040	2	13	7	9975.77593952936
1041	2	13	8	6168
1042	2	13	9	6168
1043	2	13	10	8641.2
1044	2	13	11	8552.6
1045	2	13	12	7866.1
1046	2	13	13	849
1047	2	13	14	5481.5
1048	2	13	15	9187.5
1049	2	13	16	4820.33333333333
1050	2	13	17	729
1051	2	13	18	853.862293033139
1052	2	13	19	1131.53333333333
1053	2	13	20	866.2
1054	2	13	21	866.2
1055	2	13	22	866.2
1056	2	13	23	566.2
1057	2	14	0	566.2
1058	2	14	1	566.2
1059	2	14	2	566.2
1060	2	14	3	566.2
1061	2	14	4	566.2
1062	2	14	5	566.2
1063	2	14	6	1423.13333333333
1064	2	14	7	9959.97812076404
1065	2	14	8	6168
1066	2	14	9	6168
1067	2	14	10	9141.2
1068	2	14	11	9052.6
1069	2	14	12	7866.1
1070	2	14	13	849
1071	2	14	14	5481.5
1072	2	14	15	9187.5
1073	2	14	16	4820.33333333333
1074	2	14	17	729
1075	2	14	18	849.884064430278
1076	2	14	19	1131.53333333333
1077	2	14	20	866.2
1078	2	14	21	866.2
1079	2	14	22	866.2
1080	2	14	23	566.2
1081	2	15	0	566.2
1082	2	15	1	566.2
1083	2	15	2	566.2
1084	2	15	3	566.2
1085	2	15	4	566.2
1086	2	15	5	566.2
1087	2	15	6	1423.13333333333
1088	2	15	7	9943.91698997251
1089	2	15	8	6168
1090	2	15	9	6168
1091	2	15	10	8641.2
1092	2	15	11	8552.6
1093	2	15	12	7866.1
1094	2	15	13	849
1095	2	15	14	5481.5
1096	2	15	15	9187.5
1097	2	15	16	4820.33333333333
1098	2	15	17	729
1099	2	15	18	845.898166417321
1100	2	15	19	1131.53333333333
1101	2	15	20	866.2
1102	2	15	21	866.2
1103	2	15	22	866.2
1104	2	15	23	566.2
1105	2	16	0	566.2
1106	2	16	1	566.2
1107	2	16	2	566.2
1108	2	16	3	566.2
1109	2	16	4	566.2
1110	2	16	5	566.2
1111	2	16	6	1423.13333333333
1112	2	16	7	9927.59760604812
1113	2	16	8	6168
1114	2	16	9	6168
1115	2	16	10	9141.2
