N	M	D	H	Qh
626	1	27	1	23867.1800452721
627	1	27	2	24996.4725363782
628	1	27	3	26118.7987350695
629	1	27	4	27254.3448660656
630	1	27	5	28226.0206797673
631	1	27	6	29029.4740288289
632	1	27	7	29699.8372476594
633	1	27	8	27710.4985378685
634	1	27	9	23390.4111675315
635	1	27	10	16441.0899264738
636	1	27	11	10434.5386459556
637	1	27	12	5308.79235607813
638	1	27	13	1430.05201589972
639	1	27	14	0
640	1	27	15	0
641	1	27	16	2194.48262445212
642	1	27	17	5019.87120540548
643	1	27	18	7622.46832087499
644	1	27	19	10042.4640606434
645	1	27	20	12355.4045765218
646	1	27	21	14571.2123359544
647	1	27	22	16698.890137485
648	1	27	23	18766.1469011175
649	1	28	0	20778.5827812415
650	1	28	1	22741.2788790957
651	1	28	2	24580.6831499522
652	1	28	3	26288.6824086138
653	1	28	4	27896.9965453314
654	1	28	5	29043.5944685385
655	1	28	6	29790.8111288507
656	1	28	7	30156.1228297373
657	1	28	8	28504.9042253888
658	1	28	9	25152.5868973829
659	1	28	10	20060.5868348305
660	1	28	11	14731.4798020773
661	1	28	12	10977.5559730792
662	1	28	13	8083.28391157715
663	1	28	14	6629.86572376099
664	1	28	15	6832.02059835821
665	1	28	16	8686.70654690504
666	1	28	17	10421.8463180302
667	1	28	18	11996.1637839481
668	1	28	19	13444.1053915566
669	1	28	20	14738.3032502717
670	1	28	21	15893.0071770328
671	1	28	22	16921.1462373141
672	1	28	23	17853.9917100181
673	1	29	0	18680.83537899
674	1	29	1	19431.0426252969
675	1	29	2	20131.2570848359
676	1	29	3	20786.1123642658
677	1	29	4	21399.812602084
678	1	29	5	22073.8750260296
679	1	29	6	22822.245486816
680	1	29	7	23618.4961561662
681	1	29	8	23867.1072648913
682	1	29	9	23470.7680588713
683	1	29	10	22629.7645893624
684	1	29	11	21623.8686045358
685	1	29	12	20751.3188803773
686	1	29	13	20371.1856850703
687	1	29	14	18706.5846862424
688	1	29	15	18674.9928632423
689	1	29	16	20261.7100415637
690	1	29	17	21901.0422927113
691	1	29	18	23525.2160597099
692	1	29	19	25135.6363143088
693	1	29	20	26811.7400093047
694	1	29	21	28547.4392418791
695	1	29	22	30337.2103695608
696	1	29	23	31941.5551068005
697	1	30	0	33358.1192417739
698	1	30	1	34623.8478647308
699	1	30	2	35772.2617916068
700	1	30	3	36814.2343942054
701	1	30	4	37759.6312403682
702	1	30	5	38617.4035028205
703	1	30	6	39395.6727103102
704	1	30	7	40101.8076436003
705	1	30	8	38653.5696439637
706	1	30	9	34309.5209507226
707	1	30	10	23191.4460980533
708	1	30	11	13472.5570018475
709	1	30	12	5963.49029754037
710	1	30	13	0
711	1	30	14	0
712	1	30	15	0
713	1	30	16	0
714	1	30	17	0
715	1	30	18	0
716	1	30	19	2201.54462232358
717	1	30	20	4948.11645688173
718	1	30	21	7440.1208950917
